Mitsubishi Tanabe	https://us.tanabe-pharma.com/contact-us; email format: @mt-pharma-us.com (US), @mt-pharma-eu.com (EU), @mt-pharma.co.jp (Japan)	Akihiro Kikuchi, Sr Mgr BD (US); Mana Mitamura, Dir BD Strategy	Active in autoimmune, neurology; Bain Capital acquisition ongoing	Japan (Osaka) / US (Jersey City, NJ)
Novo Nordisk	partnering@novonordisk.com	N/A (submit via email)	Active in diabetes, obesity, cardiovascular, rare blood/endocrine	Denmark (Bagsvaerd)
Lundbeck	https://www.lundbeck.com/global/partnering (portal + contact form)	N/A	Rgenta Therapeutics collab (neuroscience); 80-100 active partnerships	Denmark (Copenhagen)
LEO Pharma	businessdevelopment@leo-pharma.com	See "Meet Our Team" page	Active in medical dermatology, rare dermatology, immuno-dermatology	Denmark (Ballerup)
Ipsen	bus.devpt@ipsen.com; https://www.ipsen.com/science/partnering/	Philippe Lopes-Fernandes (EVP, Chief Business Officer); Nick Gagnon (Sr Dir Global Partnering)	Active in oncology, rare disease, neuroscience	France (Paris)
Servier	https://servier.com/en/areas-of-expertise/partnering/contact-2/ (contact form); email format: first.last@servier.com	Didier Landais, Global Head Licensing / MD Servier BioInnovation	Active in oncology, cardiometabolic, immuno-inflammation	France (Suresnes)
Pierre Fabre	https://www.pierre-fabre.com/en/innovation-and-partnerships/partnerships/business-development (portal)	Paul Hellier, Corp BD&L Manager	Active in oncology, dermatology (immuno-derm, onco-derm)	France (Castres)
Menarini	https://www.menarini.com/en-us/partnering.html; HQ Phone: +39 055 56801	N/A (Corporate BD team)	Active in oncology, anti-infectives, cardiovascular, pain	Italy (Florence)
Chiesi	https://www.chiesi.com/en/contacts/; https://www.chiesi.uk.com/business-development-contact; chiesirarediseases.com/partner-with-us/	N/A	Active in respiratory, rare diseases, neonatology	Italy (Parma)
Recordati	https://recordati.com/partnering/; corpcomm@recordati.it	N/A	Active in rare diseases, specialty pharma	Italy (Milan)

=== TIER 3: EMERGING MARKET PHARMA (7 Companies) ===

Sun Pharma	https://sunpharma.com/business-development/; pankaj.gupta@sunpharma.com (VP BD, US/EU)	Pankaj Gupta, VP Business Development	Active in specialty generics, innovative medicines; global BD program	India (Mumbai)
Dr. Reddy's	https://www.drreddys.com (contact form); email format: firstlast@drreddys.com	Jasmit Singh Chawla, Head Global In-licensing; K. Mohan Kumar, Head Out-Licensing	Active in generics, biosimilars, innovative	India (Hyderabad)
Cipla	https://www.cipla.com/contact-us; ciplausa@cipla.com (US)	Vijay Dahiya, Head VP BD&L	Active in respiratory, oncology, anti-infectives	India (Mumbai)
Celltrion	BusinessDevelopment@celltrion.com	N/A	Samsung Bioepis ADC collab; Harrow ophthalmology biosimilars	South Korea (Incheon)
Samsung Bioepis	https://www.samsungbioepis.com (contact page); nayun86.kim@samsung.com (media)	Josh Sang Hyun Lee, VP & BD Team Leader	Harrow ophthalmology biosimilars deal; Phrontline ADC collab	South Korea (Incheon)
Zydus Lifesciences	info@zfrx.com; https://zyduslife.com/contactus.html	N/A	Active in generics, biosimilars, innovative pipeline	India (Ahmedabad)
Lupin	https://www.lupin.com/contact-us; info@lupin.com; rajalakshmiazariah@lupin.com (Corp Comms)	N/A	Long-acting injectable partnership program; Zentiva, Harmony Bio collabs	India (Mumbai) / US (Somerset, NJ)
